ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0206825,0.0181296,0.0207356,0.0174188,0
0.0192866,0.0164353,0.0195734,0.0157295,1
0.0187943,0.016172,0.0185887,0.0154885,2
0.0186246,0.0160401,0.0184984,0.0154325,3
0.0183683,0.0160086,0.0181714,0.0151844,4
0.0187466,0.0156128,0.018492,0.0151542,5
0.0184896,0.0157065,0.0182039,0.0151425,6
0.0186595,0.0157791,0.0183922,0.0149806,7
0.0183984,0.01591,0.0181716,0.0153597,8
0.0201103,0.0166473,0.0198058,0.0159786,9
0.0193873,0.0169522,0.0191835,0.0162298,10
0.0199517,0.016388,0.0198006,0.0159289,11
0.0194509,0.0169587,0.0190655,0.0164431,12
0.0199577,0.01662,0.0196833,0.0158979,13
0.0194207,0.0169699,0.0191843,0.0162934,14
0.0200393,0.0166049,0.0197738,0.0160344,15
0.0194912,0.0167601,0.0191781,0.0162817,16
0.0199136,0.0166394,0.0197136,0.0159343,17
0.0194695,0.0169647,0.0190653,0.0161587,18
0.0199989,0.0165367,0.0197877,0.0160749,19
0.019441,0.0169913,0.0190672,0.0161913,20
0.0199376,0.0166332,0.0200041,0.016006,21
0.0193918,0.0168864,0.0191918,0.0162972,22
0.0200724,0.0166698,0.019745,0.0158366,23
0.0193642,0.0167382,0.0191605,0.0163788,24
0.0199543,0.0167648,0.0197999,0.0159952,25
0.0195325,0.017068,0.0190792,0.0162688,26
0.0198743,0.0166747,0.0197682,0.0160195,27
0.0196094,0.0169905,0.0191996,0.0161646,28
0.0200051,0.0165839,0.0197939,0.0159331,29
0.0194547,0.0169211,0.0191902,0.0164351,30
0.0199929,0.0166206,0.0197842,0.0159322,31
0.0195213,0.0169466,0.0191256,0.0161253,32
0.0200187,0.0166929,0.0198193,0.0160775,33
0.0194658,0.0169795,0.0191615,0.0163643,34
0.0200202,0.0166229,0.0196176,0.015953,35
0.0196538,0.0169863,0.0190715,0.0162681,36
0.0200984,0.0166865,0.0197336,0.0158964,37
0.0194748,0.0169629,0.0191874,0.0162687,38
0.0199366,0.0166356,0.0196228,0.0160602,39
0.0194846,0.0169473,0.0192078,0.016226,40
0.0199722,0.0165294,0.0197324,0.0159551,41
0.0194861,0.0168306,0.0189919,0.0162777,42
0.0198839,0.0167949,0.0197414,0.0159213,43
0.019537,0.0168703,0.0190928,0.0162551,44
0.0199829,0.0164999,0.0196989,0.0160287,45
0.0193039,0.0169683,0.0191466,0.0161844,46
0.0200756,0.0166838,0.0197962,0.0160124,47
0.019414,0.0167761,0.0191538,0.0163022,48
0.0199642,0.0165975,0.0197138,0.0159857,49
0.0195355,0.0168187,0.0191459,0.0161892,50
0.0199706,0.0166891,0.0197443,0.0160633,51
0.0194442,0.0169029,0.0190765,0.0162439,52
0.0198689,0.0166193,0.0197816,0.0159939,53
0.019313,0.0168461,0.0191642,0.016151,54
0.0198037,0.016533,0.0197291,0.0160822,55
0.0191309,0.0170052,0.0192017,0.016404,56
0.020206,0.016619,0.0197071,0.0159626,57
0.0194285,0.0169435,0.0190075,0.0162724,58
0.0197868,0.0165657,0.0196063,0.0160002,59
0.0194233,0.0168474,0.0191471,0.0163011,60
0.0199665,0.0165707,0.0197835,0.0161413,61
0.0194483,0.0169474,0.0191962,0.0160832,62
0.0198851,0.0166212,0.0197351,0.0162733,63
0.0193716,0.0169106,0.0195205,0.0162902,64
0.0200008,0.0165009,0.0194503,0.0160527,65
0.0194272,0.0168784,0.0194017,0.0163235,66
0.0198883,0.0165534,0.0195728,0.0159813,67
0.0195647,0.0169178,0.0191975,0.0162561,68
0.0198574,0.0166036,0.0197002,0.0160112,69
0.0194173,0.0169414,0.0193221,0.0161943,70
0.0199467,0.0166776,0.0198254,0.0160883,71
0.0196075,0.016864,0.0191929,0.0162564,72
0.0199695,0.0166285,0.0198404,0.0159854,73
0.019282,0.0169178,0.0193123,0.0162195,74
0.0201282,0.0166675,0.0196999,0.0160317,75
0.019493,0.0167044,0.0191803,0.0162322,76
0.0200216,0.0166367,0.0198001,0.0160294,77
0.0193842,0.0169297,0.0192728,0.0163365,78
0.0199157,0.0166744,0.0197924,0.0158732,79
0.0194573,0.0169457,0.0193025,0.016342,80
0.0199575,0.0165804,0.0197333,0.0160081,81
0.019456,0.016898,0.0194138,0.0162638,82
0.0199448,0.0166243,0.0198578,0.0159071,83
0.0194283,0.0168543,0.0192151,0.0162976,84
0.0197404,0.0166685,0.0197733,0.016044,85
0.0195186,0.0167621,0.0191562,0.0162794,86
0.0199354,0.0165237,0.019762,0.0161352,87
0.0193018,0.0168344,0.01913,0.016254,88
0.0201498,0.0168065,0.0198149,0.0159747,89
0.01943,0.016935,0.0191276,0.0164206,90
0.0199491,0.0165232,0.0198072,0.0160976,91
0.0194916,0.0170543,0.0191513,0.0163259,92
0.019858,0.0166198,0.0198077,0.0160741,93
0.0195942,0.0168098,0.0190433,0.0162261,94
0.0200095,0.0168966,0.0197893,0.015979,95
0.0193405,0.0169721,0.0191219,0.0162941,96
0.0199066,0.0167504,0.019768,0.016054,97
0.0195514,0.0169774,0.0191378,0.0162564,98
0.0199396,0.0165719,0.0197448,0.0161949,99
