ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0094511,0.0070176,0.0096851,0.0068044,0
0.0095239,0.0069611,0.0097009,0.0068311,1
0.0089544,0.006589,0.0092627,0.0063149,2
0.0091178,0.0067058,0.0092715,0.0063302,3
0.0090502,0.0065693,0.0090754,0.0060302,4
0.0089195,0.0063958,0.0090312,0.0065088,5
0.009139,0.0066186,0.0090598,0.0062203,6
0.0089732,0.0065572,0.0090373,0.0063658,7
0.009199,0.0064161,0.0090195,0.0061967,8
0.0089497,0.0065567,0.0091447,0.0064195,9
0.0091339,0.0064205,0.0089769,0.0061615,10
0.0088438,0.006348,0.009032,0.0063433,11
0.0093201,0.0067934,0.0090739,0.0061794,12
0.0089166,0.0066126,0.0090823,0.0064072,13
0.0094191,0.0068906,0.0090499,0.006224,14
0.008955,0.0063525,0.00903,0.0065767,15
0.0094135,0.0063554,0.0092224,0.0061553,16
0.0089933,0.0067732,0.0090465,0.0064152,17
0.0091816,0.0065932,0.0093064,0.006214,18
0.0090117,0.006322,0.0091662,0.0064218,19
0.0094068,0.0065759,0.0090532,0.006177,20
0.00891,0.0065169,0.0090873,0.006382,21
0.0089675,0.0063082,0.0091521,0.00623,22
0.0091005,0.0070984,0.0090022,0.0064806,23
0.0090601,0.0063613,0.0090819,0.0061775,24
0.0088699,0.0068447,0.0090216,0.0063451,25
0.0088437,0.0065163,0.0090046,0.0060585,26
0.0090547,0.0063834,0.0090898,0.0063303,27
0.0087878,0.0065909,0.0092226,0.0060095,28
0.0090833,0.0063291,0.0091266,0.006307,29
0.0090808,0.0066727,0.0090086,0.0061723,30
0.0088939,0.0064169,0.0093301,0.0064215,31
0.0092027,0.0065584,0.0090579,0.0060934,32
0.0089383,0.006602,0.0092838,0.0066633,33
0.0091925,0.0063703,0.0090886,0.0060966,34
0.0091669,0.0070357,0.0092781,0.0064283,35
0.0090669,0.0067104,0.0090897,0.0059349,36
0.0089651,0.0063795,0.0092592,0.006602,37
0.0091477,0.0066239,0.0090915,0.0060217,38
0.0089099,0.0066904,0.0090928,0.0065409,39
0.0092607,0.0063755,0.009042,0.0061121,40
0.0089523,0.0068612,0.0090571,0.0064435,41
0.0093701,0.0064091,0.0090562,0.006188,42
0.0089624,0.0068729,0.0089392,0.0062769,43
0.0088208,0.0063394,0.0090709,0.006037,44
0.0090418,0.0067458,0.0091614,0.0063495,45
0.0087468,0.0066194,0.009042,0.0060139,46
0.0090956,0.0064474,0.0090672,0.0062848,47
0.0090784,0.0066082,0.009054,0.0061557,48
0.0088564,0.0062997,0.0092639,0.0063013,49
0.0091994,0.006294,0.0090892,0.0060481,50
0.00886,0.0071156,0.0093381,0.0062911,51
0.0093617,0.0065728,0.0090857,0.0060059,52
0.0089469,0.0068535,0.009276,0.0066915,53
0.0094399,0.0065972,0.0095436,0.0060111,54
0.0089291,0.0063457,0.009072,0.0062844,55
0.0089085,0.0065927,0.0091121,0.0060995,56
0.0090907,0.0064118,0.0090461,0.0064095,57
0.0090757,0.0064039,0.0092817,0.0060527,58
0.0088226,0.0069743,0.0091868,0.0066156,59
0.0091059,0.0066358,0.0091387,0.0061083,60
0.0091911,0.0064987,0.0090853,0.0064041,61
0.0088979,0.0065025,0.0089918,0.0060513,62
0.00936,0.006426,0.0090003,0.0063131,63
0.0088267,0.0065905,0.0092664,0.0061472,64
0.0091908,0.0067115,0.0090549,0.0063852,65
0.0087801,0.0063291,0.0093913,0.0060738,66
0.0091062,0.0068586,0.0091804,0.0063789,67
0.0088906,0.0065437,0.00906,0.0060942,68
0.0093519,0.0062812,0.0094204,0.0063922,69
0.0088855,0.0065633,0.0091145,0.0066466,70
0.0093889,0.006613,0.0092925,0.006427,71
0.0088489,0.006348,0.0091526,0.0061664,72
0.009202,0.0065822,0.0090781,0.0061827,73
0.0092498,0.0067476,0.0090512,0.0066282,74
0.0090268,0.0062427,0.0091258,0.0060737,75
0.009136,0.006942,0.0091183,0.0066372,76
0.0089215,0.0064282,0.0093624,0.0060306,77
0.0091452,0.0068905,0.0091181,0.0060146,78
0.0089305,0.0063707,0.0090809,0.0063502,79
0.0091877,0.0069315,0.0091096,0.0066761,80
0.0089072,0.0063354,0.0090599,0.0061216,81
0.0091139,0.0068572,0.0091096,0.0062566,82
0.0089206,0.0064044,0.0090586,0.0062139,83
0.0091204,0.0065591,0.0090512,0.006103,84
0.0089477,0.0065763,0.0091227,0.0065176,85
0.0094211,0.0064219,0.0092224,0.0061652,86
0.0089141,0.0066179,0.0090657,0.0065786,87
0.0093524,0.0064071,0.0089927,0.006108,88
0.0088888,0.0065492,0.0090229,0.0064816,89
0.0093549,0.0064255,0.0090073,0.0062098,90
0.0088756,0.0067781,0.0090582,0.0062814,91
0.0094155,0.0064074,0.0090617,0.0061482,92
0.0089098,0.0067629,0.0093252,0.0060277,93
0.0088186,0.0064251,0.009114,0.0068642,94
0.0091161,0.0068797,0.0091052,0.006098,95
0.0087625,0.0064289,0.0096471,0.0062971,96
0.0090376,0.0068664,0.0091946,0.0061488,97
0.0089088,0.0064414,0.0090415,0.0060285,98
0.0091706,0.0066776,0.0091644,0.0063599,99
