ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.1447778,0.1526601,0.1584633,0.1443451,0
0.1493093,0.1376793,0.1599738,0.147517,1
0.1618095,0.153667,0.155994,0.1586336,2
0.1434866,0.1481459,0.1389079,0.148661,3
0.1670693,0.1422044,0.1427489,0.160564,4
0.1600485,0.1602117,0.1465814,0.1487837,5
0.1512525,0.1562587,0.1615712,0.1575629,6
0.1657506,0.1493377,0.1429955,0.1515973,7
0.1562218,0.1489732,0.1551529,0.1603817,8
0.1398097,0.1540097,0.1416128,0.1490046,9
0.1650737,0.160999,0.1495166,0.1539838,10
0.1583825,0.1402331,0.134669,0.1468803,11
0.1378872,0.1549592,0.1438124,0.1498916,12
0.1438462,0.1629873,0.1558797,0.1415023,13
0.1389993,0.1379649,0.1608554,0.1326859,14
0.1626028,0.1396715,0.1538526,0.1572425,15
0.1679536,0.1621455,0.1521222,0.1402965,16
0.1539733,0.1631294,0.1403116,0.1503402,17
0.1612696,0.1363222,0.1654948,0.1643818,18
0.1500963,0.1362301,0.1647252,0.1402405,19
0.1640412,0.1322502,0.146565,0.1385521,20
0.1592193,0.14724,0.1415799,0.1346634,21
0.1588442,0.1502931,0.1498058,0.1354094,22
0.1485379,0.1380098,0.1384611,0.1418828,23
0.1321769,0.1623613,0.1577858,0.1538363,24
0.1551144,0.1620635,0.1577044,0.1324924,25
0.1306662,0.1413466,0.1572191,0.1465059,26
0.1632872,0.1598376,0.1380898,0.134928,27
0.1637295,0.1610442,0.1531356,0.1561893,28
0.1609847,0.1636719,0.1460062,0.1317663,29
0.1401105,0.1587616,0.159175,0.1458945,30
0.1489555,0.1632305,0.1649823,0.1543177,31
0.1431803,0.158787,0.1631706,0.1441906,32
0.1398683,0.1410095,0.1499317,0.1620459,33
0.1342119,0.1430009,0.1540003,0.1447325,34
0.1413906,0.1444419,0.1508617,0.1611622,35
0.1543885,0.1448042,0.1339741,0.1479539,36
0.1450657,0.147204,0.1548399,0.136291,37
0.1340212,0.1606998,0.1355884,0.1542285,38
0.1372709,0.1328102,0.1672925,0.1607716,39
0.151992,0.1505832,0.139349,0.1352782,40
0.1496723,0.1351455,0.1451944,0.1448325,41
0.1433279,0.1515022,0.1551825,0.1502041,42
0.1369666,0.1385698,0.157301,0.1391389,43
0.1548943,0.1328339,0.1445654,0.1351143,44
0.142704,0.1373765,0.1383009,0.1575604,45
0.1468549,0.1578587,0.1444669,0.1322929,46
0.1378977,0.1505128,0.1574117,0.1567621,47
0.1568001,0.1540964,0.1370076,0.1365914,48
0.1540701,0.1646552,0.1659251,0.1381269,49
0.1312663,0.1321678,0.1427235,0.1506708,50
0.1314348,0.1441244,0.1645087,0.1619258,51
0.1494041,0.1492915,0.1667401,0.1448202,52
0.1464957,0.1525657,0.1617119,0.1474284,53
0.1331572,0.1631024,0.1522172,0.1625774,54
0.1393883,0.1561912,0.1635608,0.1606211,55
0.1436725,0.1368678,0.1630047,0.1458125,56
0.1541738,0.1450455,0.1431843,0.1387464,57
0.1381476,0.1599847,0.1670968,0.1622895,58
0.1474631,0.1472463,0.1611231,0.13787,59
0.1612619,0.1312489,0.1680172,0.1416619,60
0.153849,0.1605939,0.1594684,0.1638803,61
0.1520389,0.1633685,0.1466568,0.1583087,62
0.1405654,0.144846,0.1338854,0.1470722,63
0.1371224,0.1575777,0.1495826,0.158121,64
0.1460221,0.162475,0.1567194,0.1551338,65
0.1572212,0.1335444,0.1437437,0.1417834,66
0.1612926,0.1419651,0.1422493,0.1531879,67
0.1597637,0.1639069,0.1437917,0.1529548,68
0.130967,0.1429068,0.1437732,0.1397317,69
0.1343753,0.1497262,0.1566513,0.1443345,70
0.1531457,0.1350436,0.156911,0.1365853,71
0.1582386,0.1473855,0.1442605,0.1587533,72
0.1304412,0.1511919,0.154122,0.1465429,73
0.1467523,0.1563463,0.1673512,0.143465,74
0.1477387,0.151646,0.1508053,0.1352793,75
0.1475116,0.1618667,0.1431736,0.1314903,76
0.1386778,0.1380111,0.1419733,0.1410561,77
0.14701,0.1412451,0.146398,0.1480748,78
0.1388699,0.1644333,0.1487058,0.1540017,79
0.1593423,0.1532338,0.161958,0.1599809,80
0.163521,0.1379017,0.1454112,0.1368188,81
0.1483926,0.1563509,0.1577219,0.1561935,82
0.1392742,0.14125,0.1462855,0.1329756,83
0.1363729,0.1500215,0.1437151,0.1525299,84
0.1385543,0.1545983,0.1351469,0.1636571,85
0.1397278,0.1429942,0.1411673,0.1356505,86
0.1579699,0.1445877,0.1387938,0.1345828,87
0.130908,0.1401185,0.1362754,0.1376083,88
0.1329182,0.1404966,0.1602053,0.1639205,89
0.152501,0.1615415,0.1485804,0.1514852,90
0.1421653,0.1375463,0.1654601,0.1588967,91
0.1403999,0.1661131,0.1642024,0.1535182,92
0.1437927,0.1321665,0.158048,0.1406669,93
0.1618981,0.1500471,0.1428985,0.1410795,94
0.1423891,0.1555015,0.1395678,0.1400452,95
0.1343308,0.1588647,0.14839,0.1356109,96
0.1548173,0.1327943,0.1645585,0.1428332,97
0.1529615,0.1335879,0.142997,0.1412179,98
0.1364709,0.1568475,0.1361869,0.131678,99
