ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.056227,0.0521378,0.0569958,0.0520247,0
0.0558428,0.0517329,0.0561835,0.0517797,1
0.0564647,0.0518337,0.0562748,0.0522209,2
0.0551486,0.0508154,0.0555313,0.0520752,3
0.0555601,0.0513829,0.0561967,0.0516119,4
0.0557766,0.0509486,0.0554868,0.0516093,5
0.0550969,0.0513827,0.0557102,0.0522855,6
0.0559832,0.0510398,0.05531,0.0513083,7
0.0553169,0.051395,0.0556512,0.0524765,8
0.0555715,0.0507533,0.0552918,0.052036,9
0.0547913,0.0514598,0.0556077,0.051407,10
0.0558617,0.0508372,0.0549887,0.0517138,11
0.0547317,0.0513215,0.055643,0.0516563,12
0.055229,0.0508128,0.0560433,0.0517275,13
0.0553809,0.0515351,0.0557602,0.051595,14
0.0555312,0.0510419,0.055047,0.0512865,15
0.0554531,0.0518071,0.0562633,0.0519504,16
0.0554048,0.0508379,0.0554956,0.0520087,17
0.0553865,0.05156,0.055627,0.0521281,18
0.0557533,0.0509247,0.0555107,0.0521077,19
0.0553893,0.0513175,0.0558796,0.0513037,20
0.0554029,0.0509433,0.0558211,0.051827,21
0.0559133,0.0514648,0.0553009,0.0512958,22
0.0554219,0.0509035,0.0559021,0.0520275,23
0.0554849,0.0515321,0.0553315,0.051531,24
0.0554168,0.0509504,0.0554636,0.0518212,25
0.0558687,0.0514276,0.0551937,0.051681,26
0.0555006,0.0508796,0.0554515,0.0518773,27
0.0559827,0.0513458,0.0554856,0.0513919,28
0.0548863,0.0508967,0.0550264,0.0518618,29
0.0554066,0.0519404,0.0554517,0.0512662,30
0.0547691,0.0511745,0.0550229,0.0520033,31
0.0556113,0.0518046,0.0553289,0.0514953,32
0.0554097,0.0513276,0.0551055,0.0525598,33
0.0553295,0.0518638,0.0557231,0.0514356,34
0.0548088,0.0514706,0.0555487,0.0523087,35
0.0556698,0.0520879,0.0556845,0.0513878,36
0.0560629,0.0516461,0.0554992,0.0520801,37
0.0561601,0.0526796,0.0552177,0.0512396,38
0.0557079,0.0514822,0.055489,0.0518594,39
0.0554627,0.0531865,0.055565,0.0513734,40
0.0551816,0.0514128,0.0553208,0.0521276,41
0.0550309,0.0527028,0.0555166,0.0513407,42
0.05624,0.0520218,0.0553204,0.0527695,43
0.055348,0.0530448,0.0555418,0.0515441,44
0.0557605,0.0524174,0.0556516,0.051791,45
0.0552398,0.0517064,0.0552593,0.0513856,46
0.0555368,0.0518069,0.0551158,0.051876,47
0.0551981,0.0519976,0.0558252,0.0514233,48
0.0552879,0.0517134,0.0553691,0.0518224,49
0.0558398,0.0516926,0.0554085,0.0512285,50
0.0551544,0.0518259,0.0559441,0.0519623,51
0.056042,0.0518937,0.0559049,0.0514447,52
0.0548598,0.0511853,0.055659,0.0517979,53
0.0552266,0.0521447,0.0558473,0.0515463,54
0.0550858,0.051206,0.0549445,0.0520618,55
0.0558783,0.0519738,0.0554858,0.0512972,56
0.0547869,0.0510665,0.0556429,0.0517441,57
0.0556973,0.0517714,0.0562135,0.051442,58
0.0547566,0.051395,0.0565431,0.0517626,59
0.0554348,0.0517373,0.0554782,0.0513266,60
0.055288,0.0512166,0.0551723,0.0519206,61
0.0553929,0.0517063,0.0555501,0.0514817,62
0.0567264,0.05124,0.0557572,0.0523336,63
0.0563161,0.0516934,0.0553958,0.0522426,64
0.0552627,0.0512326,0.0558512,0.0519681,65
0.0554351,0.051981,0.0554192,0.05144,66
0.0555933,0.0512159,0.0553735,0.0519714,67
0.0549503,0.0517673,0.0553535,0.0513559,68
0.0557697,0.0514472,0.0549903,0.0520145,69
0.0554474,0.0516999,0.0552816,0.0512685,70
0.0551086,0.0511574,0.0552181,0.0518222,71
0.0554447,0.0517878,0.0551673,0.0514071,72
0.0553299,0.0515642,0.0554428,0.0518564,73
0.0554457,0.0517848,0.0554473,0.0513945,74
0.056018,0.0513054,0.055693,0.0520297,75
0.0551016,0.0517155,0.0554134,0.0516848,76
0.0555427,0.0511511,0.0554345,0.0519845,77
0.0547793,0.051839,0.0563389,0.05135,78
0.0549298,0.0513567,0.0552537,0.0518674,79
0.055981,0.0521611,0.055613,0.0512054,80
0.0545972,0.0513666,0.0554065,0.0518244,81
0.0554701,0.0518803,0.0555138,0.0516064,82
0.0550962,0.0511973,0.0559754,0.0522372,83
0.0560112,0.051869,0.0552609,0.0517382,84
0.0552153,0.0512773,0.0552347,0.0524732,85
0.0562437,0.0520347,0.0554181,0.0516458,86
0.0556751,0.0514124,0.0555287,0.0521414,87
0.0556968,0.0519292,0.0554979,0.0516845,88
0.0546643,0.0513973,0.0555416,0.0518641,89
0.0562465,0.0516644,0.0559282,0.0510526,90
0.0549969,0.0512584,0.0556446,0.0518148,91
0.0557385,0.0516104,0.0555495,0.0513373,92
0.0553339,0.0516547,0.0555058,0.0518147,93
0.0560406,0.0518783,0.0559654,0.0511042,94
0.0550497,0.0512755,0.0551338,0.0517328,95
0.0552705,0.052219,0.0553285,0.0512744,96
0.0553123,0.0513059,0.0558188,0.0518762,97
0.0562014,0.0519502,0.0558032,0.0512368,98
0.054862,0.0512808,0.0556609,0.0516274,99
