ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
14.4478564,11.2628539,14.3773127,11.1085684,0
13.1762676,9.6070084,12.4908425,9.7019573,1
12.7387759,9.4643411,13.3764489,9.8430655,2
12.3097587,8.9197532,12.2418121,8.9900208,3
12.2609775,8.8426097,12.2232873,8.9080151,4
12.1721824,9.0991807,12.396522,9.3284395,5
12.9190795,9.6368863,13.1696593,9.6684692,6
12.9343225,9.1453817,12.5066892,9.6082751,7
12.4483845,8.897911,12.0715607,8.6740528,8
12.8099377,10.0218507,12.5416243,9.2468277,9
