ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0119016,0.0087862,0.0114368,0.0090468,0
0.0114618,0.0083467,0.0117272,0.0083321,1
0.01105,0.0080664,0.0112825,0.0084175,2
0.0114704,0.008139,0.0107348,0.0077183,3
0.0109742,0.0077802,0.0105271,0.0077825,4
0.0109455,0.0076836,0.0106599,0.0076211,5
0.0106843,0.0076054,0.0107579,0.0074484,6
0.0106037,0.007475,0.0107385,0.0076689,7
0.011215,0.0074258,0.0108794,0.0076928,8
0.0107496,0.0076602,0.0107107,0.0073679,9
0.0111987,0.0072855,0.0105769,0.007518,10
0.0109079,0.0073754,0.0105673,0.0080483,11
0.0106931,0.0071985,0.010614,0.0074297,12
0.0114749,0.0073905,0.0109117,0.0076467,13
0.010599,0.0071941,0.0106735,0.0071622,14
0.0109392,0.0074016,0.0104811,0.008363,15
0.0111925,0.0074001,0.0104914,0.0073779,16
0.0109875,0.0085152,0.010614,0.0081077,17
0.0112525,0.0073137,0.0106368,0.00748,18
0.010897,0.0075955,0.0105672,0.0081236,19
0.0115005,0.0073427,0.0105802,0.0071344,20
0.0109608,0.0075158,0.0104613,0.0077052,21
0.0115149,0.0076247,0.0104126,0.0074663,22
0.0107106,0.0078205,0.0106327,0.0078444,23
0.0108766,0.0075638,0.0106338,0.0071521,24
0.011059,0.0076835,0.0106448,0.0081737,25
0.0107025,0.0075127,0.0107168,0.0073263,26
0.0111814,0.0077899,0.0104833,0.0081163,27
0.0109704,0.0075105,0.0104464,0.0072004,28
0.0112609,0.0077844,0.010756,0.007741,29
0.0110268,0.0078466,0.0105172,0.0070755,30
0.0111722,0.0074832,0.0107405,0.0078734,31
0.0107666,0.0075941,0.0104792,0.0072729,32
0.0112809,0.0072658,0.0104166,0.0079056,33
0.0108942,0.0074742,0.0109575,0.0073197,34
0.0117084,0.0073779,0.0104966,0.0077131,35
0.01088,0.0072116,0.0104244,0.0075471,36
0.0113695,0.0075827,0.0110764,0.0079216,37
0.0108598,0.0071341,0.01047,0.0072799,38
0.0111109,0.0078444,0.0106485,0.0079511,39
0.0110016,0.0073922,0.0108594,0.0071452,40
0.0109391,0.0073245,0.0106729,0.0076542,41
0.0107139,0.0072377,0.0105557,0.0074934,42
0.0115204,0.007361,0.0104334,0.0077788,43
0.0108668,0.0074504,0.010412,0.0073353,44
0.0112294,0.0073611,0.0107292,0.0083669,45
0.0106394,0.0080511,0.0106782,0.0070766,46
0.0111269,0.0074148,0.0105798,0.0075834,47
0.0112368,0.0074711,0.0107236,0.0074935,48
0.010901,0.0075987,0.0105613,0.0075292,49
0.0112468,0.0075965,0.0105752,0.0071355,50
0.0109162,0.0078732,0.0107438,0.0081347,51
0.0112651,0.0076187,0.0107765,0.0071534,52
0.0111797,0.0074866,0.0109893,0.0079907,53
0.0112265,0.0075753,0.0106814,0.0075185,54
0.0109673,0.007501,0.0105188,0.0077721,55
0.0113589,0.0076004,0.0106299,0.0075161,56
0.0111285,0.007738,0.0111836,0.0075672,57
0.0111342,0.0075335,0.0110713,0.0071122,58
0.0110655,0.0073132,0.0106258,0.0078354,59
0.0117348,0.0072247,0.0104696,0.0076491,60
0.0106541,0.0075539,0.0105051,0.0078789,61
0.0109141,0.0072326,0.0106662,0.0074625,62
0.0109362,0.007265,0.0105681,0.0077879,63
0.0106872,0.0076323,0.0107426,0.007814,64
0.0111357,0.0074538,0.0107246,0.0077286,65
0.0108569,0.007541,0.0104257,0.0078671,66
0.0112083,0.007891,0.010596,0.0083901,67
0.0107454,0.0072281,0.0108989,0.0076086,68
0.0112338,0.0071912,0.0108043,0.0077138,69
0.0109841,0.0076036,0.0104614,0.0073497,70
0.011042,0.0076546,0.0104211,0.0076321,71
0.0111736,0.0076517,0.0106987,0.0077209,72
0.0106357,0.007305,0.0104057,0.0075667,73
0.011026,0.0072737,0.0106497,0.0070465,74
0.0113931,0.0074389,0.010675,0.0084376,75
0.010809,0.007685,0.0104705,0.0070976,76
0.0111481,0.0075538,0.0105771,0.0075554,77
0.0109438,0.0073364,0.0104944,0.0076288,78
0.0114803,0.0076592,0.0104008,0.0079506,79
0.0106932,0.0073641,0.0105008,0.0073711,80
0.0108584,0.0079997,0.0104194,0.0088182,81
0.0110685,0.0074551,0.0104354,0.0073853,82
0.0113039,0.0074667,0.0106636,0.0077416,83
0.0108496,0.0076276,0.0106438,0.0070909,84
0.0110056,0.007557,0.010488,0.0078912,85
0.0110352,0.0074718,0.0106152,0.0070633,86
0.0111107,0.0076056,0.0105827,0.0078175,87
0.0108289,0.0075475,0.0104817,0.0073589,88
0.0109181,0.0078389,0.010673,0.0079119,89
0.0112289,0.0077224,0.0106956,0.0074157,90
0.0113213,0.007711,0.0105585,0.0081887,91
0.0111506,0.007729,0.0106458,0.0071212,92
0.0109929,0.0081061,0.0105614,0.0080133,93
0.0110391,0.0074076,0.0104806,0.007481,94
0.0111102,0.0076061,0.0105718,0.0081062,95
0.0115655,0.0074931,0.0105943,0.0072472,96
0.0107675,0.0073708,0.0106132,0.0077429,97
0.0111739,0.0074613,0.0104534,0.0075094,98
0.0116101,0.0073427,0.0106387,0.0079861,99
