ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0141221,0.0106319,0.0147038,0.0108145,0
0.0145772,0.0107444,0.0148473,0.0110216,1
0.0149078,0.0106075,0.0146261,0.0102761,2
0.013928,0.0108836,0.0140408,0.0102435,3
0.0145621,0.0098356,0.0144869,0.0101889,4
0.0144596,0.0104257,0.0135336,0.0103549,5
0.0141819,0.0103825,0.0145864,0.0099561,6
0.013964,0.0106612,0.0137281,0.0105852,7
0.013919,0.0108154,0.014753,0.010065,8
0.0141336,0.0099376,0.0141247,0.010485,9
0.0142753,0.0104146,0.0142864,0.0099884,10
0.0139881,0.0101872,0.0140388,0.0102395,11
0.0137595,0.0100677,0.0140664,0.0105752,12
0.0139401,0.0110317,0.0146239,0.0100032,13
0.0142628,0.0099804,0.0139312,0.0115885,14
0.0143541,0.0107722,0.0143174,0.0098509,15
0.0137903,0.0107517,0.0137196,0.010344,16
0.0141189,0.0101542,0.01375,0.0098136,17
0.0142384,0.0107046,0.0137692,0.0100871,18
0.014276,0.0103003,0.0139551,0.0103953,19
0.0137759,0.0102379,0.0136342,0.0101883,20
0.0144065,0.0101435,0.0143571,0.0099368,21
0.0142373,0.0106289,0.0138554,0.0105322,22
0.0143068,0.0101078,0.0142414,0.0101355,23
0.0147865,0.0109501,0.0140493,0.0098602,24
0.0143822,0.0109733,0.014455,0.0106773,25
0.013823,0.0101053,0.014028,0.0103293,26
0.0144087,0.0101788,0.0137668,0.0098217,27
0.0139494,0.0103013,0.0143433,0.0102887,28
0.0145239,0.0103859,0.0141567,0.010525,29
0.0143948,0.0106259,0.0139146,0.0099406,30
0.0140261,0.0098747,0.0137962,0.01051,31
0.0142684,0.0099909,0.0140899,0.0099347,32
0.0141482,0.0109797,0.0147556,0.0104504,33
0.0138184,0.0100367,0.0137225,0.0098821,34
0.0140434,0.0106519,0.0137576,0.0107346,35
0.0141897,0.0103711,0.0144722,0.0098825,36
0.0144506,0.0099627,0.0137642,0.0104964,37
0.0139246,0.0101559,0.0138648,0.0098073,38
0.013991,0.0105655,0.0136882,0.0101383,39
0.0140498,0.0103602,0.0143891,0.0101388,40
0.0138748,0.0105372,0.0142174,0.0099921,41
0.0143324,0.0099379,0.0140265,0.0105279,42
0.0141853,0.0106319,0.013766,0.0099897,43
0.014379,0.0098783,0.0144491,0.0102847,44
0.0138627,0.0104659,0.0137218,0.0099418,45
0.0139053,0.0099207,0.013953,0.0104705,46
0.0140963,0.0106247,0.014041,0.0102481,47
0.0139474,0.0104046,0.0136535,0.0099239,48
0.0138442,0.0103217,0.0139771,0.010309,49
0.0145663,0.0110445,0.0140313,0.0099551,50
0.0142348,0.0104746,0.0142732,0.0104078,51
0.013705,0.0105668,0.014102,0.0099479,52
0.0139873,0.0110195,0.0139422,0.0102917,53
0.0141938,0.0100303,0.0137815,0.0108588,54
0.0138875,0.0101016,0.0143082,0.0100545,55
0.0137684,0.0110984,0.013801,0.0104609,56
0.0139878,0.0104988,0.0143625,0.010853,57
0.0141667,0.0108586,0.0140683,0.0106749,58
0.014356,0.0101185,0.0141683,0.010046,59
0.014133,0.0102038,0.0137565,0.0108448,60
0.014111,0.01019,0.0137859,0.0098862,61
0.0144385,0.0105162,0.0144186,0.0104803,62
0.0143507,0.0101483,0.0140333,0.0098611,63
0.0143962,0.010186,0.0140679,0.0104658,64
0.0143262,0.0104224,0.0144743,0.0100078,65
0.014328,0.0101199,0.0141358,0.0108726,66
0.0143048,0.0110616,0.0138161,0.0101108,67
0.014435,0.0104707,0.0140238,0.0104524,68
0.0139921,0.0100372,0.0139122,0.0102941,69
0.0143359,0.0108257,0.0143828,0.0099716,70
0.0139497,0.0102179,0.0136246,0.0102453,71
0.0143816,0.011116,0.0143166,0.0101622,72
0.0139533,0.0100494,0.0142038,0.0102427,73
0.014513,0.0106185,0.0136737,0.0102061,74
0.0138886,0.0105556,0.013571,0.0102887,75
0.0142728,0.0101704,0.014444,0.0101234,76
0.0142794,0.0105209,0.0139017,0.0105555,77
0.0144346,0.010823,0.0138089,0.0101762,78
0.0139218,0.0099373,0.0138839,0.0100647,79
0.014319,0.0103445,0.0142095,0.0102125,80
0.0143698,0.010063,0.0138476,0.010033,81
0.0141817,0.010465,0.013946,0.0103478,82
0.0141227,0.0100881,0.0142931,0.0097456,83
0.0140211,0.0100289,0.0141433,0.0102705,84
0.0139131,0.0098283,0.0138909,0.0098927,85
0.0144285,0.0102118,0.0140467,0.0100781,86
0.0140206,0.0108305,0.0138516,0.0097211,87
0.0144779,0.0103375,0.0138211,0.0103618,88
0.0142698,0.0100771,0.0136506,0.0097961,89
0.0140074,0.0103695,0.0142445,0.0103381,90
0.0140835,0.0100766,0.0141214,0.0099246,91
0.0142776,0.0103327,0.0143902,0.0104052,92
0.0141915,0.0105683,0.0139891,0.009919,93
0.0144447,0.0102017,0.0141401,0.010438,94
0.0142468,0.0099877,0.0137471,0.009815,95
0.0139587,0.0102098,0.0141149,0.0100436,96
0.0139141,0.0105446,0.0137316,0.0102405,97
0.0143062,0.0100965,0.0139331,0.0099074,98
0.0143637,0.0105229,0.0143696,0.0104694,99
