ECF.Core.Container.CSX25519Ed25519AesGcmSha256,ECF.Core.Container.CSX25519Ed25519AesGcmSha512,ECF.Core.Container.CSX25519Ed25519AegisSha256,ECF.Core.Container.CSX25519Ed25519AegisSha512,run
0.0115092,0.0080294,0.0110473,0.0075198,0
0.0113706,0.00851,0.0114225,0.0080369,1
0.0118718,0.0078532,0.0111248,0.0076675,2
0.0108992,0.0073231,0.0106132,0.0070355,3
0.011539,0.007787,0.0110096,0.0076139,4
0.0107208,0.0072371,0.0104352,0.0070983,5
0.0112732,0.0079171,0.0109873,0.0076395,6
0.0106694,0.0072845,0.0107242,0.0071346,7
0.0114854,0.0080557,0.0110685,0.0076087,8
0.0107274,0.0073124,0.0105097,0.0070856,9
0.0111288,0.0081294,0.0109979,0.0076344,10
0.0107323,0.0073396,0.0106692,0.0070569,11
0.0113721,0.0080107,0.0109686,0.0078378,12
0.0108463,0.0072904,0.0105661,0.0070173,13
0.0112162,0.0079523,0.0109897,0.0077683,14
0.0107208,0.0072263,0.0106753,0.007,15
0.0112054,0.0080603,0.0109335,0.0076384,16
0.0107479,0.0073716,0.0104582,0.0070724,17
0.0113521,0.0079335,0.0109785,0.0076067,18
0.0106591,0.0073359,0.0106683,0.0070316,19
0.0112745,0.0079057,0.0109854,0.0076131,20
0.0107682,0.0076527,0.0106671,0.0070274,21
0.0113799,0.0077977,0.0110804,0.0076357,22
0.0106829,0.0073986,0.0107265,0.0070044,23
0.0112151,0.0077559,0.0108927,0.0076288,24
0.010749,0.0073114,0.0105051,0.0070143,25
0.0113256,0.007742,0.0109568,0.0075764,26
0.0108259,0.0072149,0.0106107,0.0070168,27
0.0114321,0.007845,0.0111573,0.0077117,28
0.010753,0.0072238,0.0104334,0.0073039,29
0.0113185,0.0080555,0.0111021,0.0076401,30
0.0108285,0.0073292,0.0106312,0.0074133,31
0.0111957,0.0081427,0.0109744,0.0076164,32
0.0108982,0.0071909,0.0105166,0.0072494,33
0.0113205,0.0080997,0.0111096,0.0076005,34
